Address A,Address B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
00:00:5e:00:01:42,88:b1:11:44:a4:99,13963,2484845,7,420,13956,2484425,0,1337.365319392,2.51240252104604,14861.6086508329
00:26:82:9e:80:0b,88:b1:11:44:a4:99,12,712,6,388,6,324,389.37319901,2.73956385100001,1133.02706884052,946.136005938993
00:be:75:f2:8b:3f,88:b1:11:44:a4:99,33522,46860287,33522,46860287,0,0,0.17123737,1337.150653763,280359.056733816,0
00:be:75:f2:94:ff,88:b1:11:44:a4:99,20783,27639437,20783,27639437,0,0,0.064369141,1335.42231715,165577.205922315,0
01:00:5e:00:00:fb,88:b1:11:44:a4:99,11,912,0,0,11,912,0.046859668,731.433325451,0,9.974935166512
01:00:5e:7f:ff:fa,88:b1:11:44:a4:99,52,11128,0,0,52,11128,0.060526787,1265.632531286,0,70.339532051648
33:33:00:00:00:fb,88:b1:11:44:a4:99,2,214,0,0,2,214,221.197761107,512.002181385,0,3.34373575395504
34:db:fd:37:7f:c0,88:b1:11:44:a4:99,2,84,2,84,0,0,389.398219693,626.845100201,1.07203518027743,0
4c:bb:58:36:cd:f4,88:b1:11:44:a4:99,10,596,5,326,5,270,1015.186534973,5.10885470000005,510.486234811097,422.795347849681
88:b1:11:44:a4:99,ff:ff:ff:ff:ff:ff,3,126,3,126,0,0,389.373252913,626.820102522,1.60811689980001,0
