Address A,Address B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
3.214.17.10,10.61.81.49,865,545075,444,472810,421,72265,166.398313779,1170.967005613,3230.21911110115,493.711605219273
3.215.87.246,10.61.81.49,185,23088,99,14166,86,8922,247.96953922,1057.445814475,107.171448833305,67.4984940343602
10.61.81.49,192.168.108.122,192,22635,100,9614,92,13021,0,1295.196827287,59.3824802374668,80.4263860174803
10.61.81.49,224.0.0.251,11,912,11,912,0,0,0.046859668,731.433325451,9.974935166512,0
10.61.81.49,239.255.255.250,52,11128,52,11128,0,0,0.060526787,1265.632531286,70.339532051648,0
10.61.81.49,216.58.196.195,403,255477,239,212046,164,43431,0.064881282,374.950107611,4524.24993503385,926.651287590687
10.61.81.49,172.217.166.10,92,42261,44,12962,48,29299,0.172294527,50.045720938,2072.02530119339,4683.55726737118
10.61.81.49,74.125.24.188,47,15886,26,3270,21,12616,0.211192126,50.577052298,517.230617669557,1995.52950229943
10.61.81.49,172.217.166.205,85,49978,41,19095,44,30883,0.444616007,63.445237946,2407.74571812652,3894.12992997651
10.61.81.49,216.58.200.164,651,394916,269,58803,382,336113,0.444764965,1304.214884388,360.69516276127,2061.70319951667
10.61.81.49,172.217.167.3,108,73910,50,28832,58,45078,2.073756793,1293.47768238,178.322365466401,278.801872589291
10.61.81.49,35.224.99.156,21,2066,11,916,10,1150,2.416068723,1200.629226272,6.1034662822208,7.66264871676192
10.61.81.49,216.58.196.206,142,96580,66,23149,76,73431,5.699801936,1295.119003832,142.99226515251,453.586116999178
10.61.81.49,216.58.200.174,644,361608,324,166024,320,195584,22.899143065,1276.733881647,1040.30449813599,1225.52712236442
10.61.81.49,172.217.166.14,35,26338,16,9130,19,17208,23.092649613,385.826016504,189.30812562051,356.803310589017
10.61.81.49,172.217.27.174,186,134284,80,31716,106,102568,23.092813355,27.124886307,9354.06685684509,30250.5968398565
10.61.81.49,216.58.196.202,39,27940,19,11987,20,15953,23.093100136,1192.645683746,80.4061099678814,107.009149271512
10.61.81.49,172.217.167.33,288,224508,118,27274,170,197234,23.354557757,1282.257060283,170.162447732473,1230.54264926547
