Address A,Port A,Address B,Port B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
10.61.81.49,49342,216.58.196.195,443,37,8294,19,2293,18,6001,0.064881282,5.989270402,3062.81045415388,8015.66748162993
10.61.81.49,44752,74.125.24.188,5228,24,7977,13,1635,11,6342,0.211192126,6.539779255,2000.06750839482,7758.06002338836
10.61.81.49,58376,35.224.99.156,80,10,1000,5,425,5,575,2.416068723,1.13994262,2982.60626486621,4035.29082893664
10.61.81.49,49348,216.58.196.195,443,30,7832,14,1963,16,5869,17.398410995,32.956742127,476.503409817757,1424.65538065227
10.61.81.49,44758,74.125.24.188,5228,23,7909,13,1635,10,6274,17.418343839,33.369900585,391.970002028701,1504.1099649713
10.61.81.49,48640,172.217.166.10,443,14,6001,8,1117,6,4884,17.782789896,32.435225569,275.502939882144,1204.6162563871
10.61.81.49,47328,172.217.166.205,443,16,5264,9,1183,7,4081,18.049671439,32.168281145,294.202850234384,1014.91279104524
10.61.81.49,46780,216.58.196.206,443,14,5867,8,1117,6,4750,22.909983353,27.307992533,327.230205193641,1391.53399701862
10.61.81.49,56678,172.217.167.14,443,14,5867,8,1117,6,4750,23.797697486,26.420292785,338.224866496308,1438.28837587956
10.61.81.49,56680,172.217.167.14,443,14,5866,8,1117,6,4749,24.048136556,26.169866248,341.46143183605,1451.74605173626
10.61.81.49,49710,172.217.166.3,443,116,172103,46,4055,70,168048,26.469969367,22.539194945,1439.27057195964,59646.4959498579
10.61.81.49,49712,172.217.166.3,443,16,5998,9,1183,7,4815,26.470105505,22.441954741,421.710145538699,1716.42802262792
10.61.81.49,43000,216.58.200.174,443,36,8737,18,2273,18,6464,31.455758654,18.902723913,961.977759591266,2735.69038187327
10.61.81.49,49368,216.58.196.195,443,144,76213,78,65977,66,10236,62.778986683,312.23600221,1690.43927114147,262.263158061205
10.61.81.49,49370,216.58.196.195,443,16,6132,9,1183,7,4949,62.929024237,14.5440186,650.714239323099,2722.21874083687
10.61.81.49,46820,172.217.194.188,5228,75,10322,38,3299,37,7023,62.940002517,1266.046264224,20.8459996650885,44.3775252039758
10.61.81.49,33268,172.217.167.202,443,16,6132,9,1183,7,4949,63.170401964,10.398146935,910.162172083212,3807.60151279782
10.61.81.49,49724,172.217.166.3,443,116,172159,52,4451,64,167708,72.548355754,240.759859987,147.898407990114,5572.62327728735
10.61.81.49,49726,172.217.166.3,443,18,2617,11,1371,7,1246,72.548499916,93.207356998,117.673114582955,106.944347753728
10.61.81.49,59002,52.45.119.166,80,23,2901,12,1305,11,1596,72.976978633,332.525095859,31.3961265781481,38.397101930057
10.61.81.49,59004,52.45.119.166,80,10,676,6,404,4,272,72.97743361,93.476273874,34.5756186682893,23.2786343509275
10.61.81.49,56816,52.45.119.166,443,111,90161,51,7000,60,83161,72.977873005,93.420187041,599.442173835756,7121.45865976505
10.61.81.49,57966,13.224.17.4,443,1326,2054138,512,39498,814,2014640,72.978275942,709.765450595,445.194958045801,22707.6705219857
10.61.81.49,56820,52.45.119.166,443,21,5136,11,1925,10,3211,75.006701133,91.391166549,168.506438658305,281.077493263282
10.61.81.49,56822,52.45.119.166,443,49,33948,23,2739,26,31209,75.015946508,91.381984354,239.784681355969,2732.17967157299
10.61.81.49,56824,52.45.119.166,443,53,46360,25,3514,28,42846,75.032203098,91.365793003,307.68626940147,3751.60099566744
10.61.81.49,56826,52.45.119.166,443,16,1816,9,1170,7,646,75.052032384,91.345700644,102.4678768022,56.5762806959154
10.61.81.49,56828,52.45.119.166,443,18,1991,10,1248,8,743,75.052133849,91.345675376,109.299098823273,65.0714987385349
10.61.81.49,43032,216.58.200.174,443,69,17609,33,8537,36,9072,77.637519616,287.961887724,237.170274649189,252.0333526552
10.61.81.49,43034,216.58.200.174,443,40,8279,22,2117,18,6162,77.723911225,344.971327034,49.093935271701,142.898832850365
10.61.81.49,34020,74.125.24.157,443,22,5446,12,1381,10,4065,79.025505533,87.372622298,126.446931652329,372.198969707979
10.61.81.49,51722,172.217.167.46,443,18,6131,10,1249,8,4882,165.928737108,81.246062831,122.984421051693,480.712524879395
10.61.81.49,51724,172.217.167.46,443,45,9426,22,2852,23,6574,165.962378579,242.095780253,94.2436913859314,217.236334912732
10.61.81.49,55224,3.214.17.10,443,288,188882,138,25805,150,163077,166.398313779,190.583457804,1083.19999216463,6845.37900105525
10.61.81.49,55226,3.214.17.10,443,23,7698,12,1443,11,6255,166.398464349,26.736487945,431.769498811786,1871.59959464153
10.61.81.49,55228,3.214.17.10,443,159,106023,76,17570,83,88453,192.866634743,57.39482364,2449.00133994035,12329.0560911636
10.61.81.49,59154,172.217.166.238,443,16,6000,9,1183,7,4817,193.635335292,13.660213456,692.814942495875,2821.03937278329
10.61.81.49,49986,172.217.160.227,443,17,6582,10,1766,7,4816,193.702730842,13.592732089,1039.37897896429,2834.45592451417
10.61.81.49,49988,172.217.160.227,443,19,6715,11,1832,8,4883,193.702949134,13.592449625,1078.24567346888,2873.94848446974
10.61.81.49,55236,3.214.17.10,443,13,1587,7,1038,6,549,194.796414468,12.946878115,641.390142568744,339.23235864185
10.61.81.49,43056,216.58.200.174,443,20,6263,11,1315,9,4948,195.143330251,12.152189804,865.687597846543,3257.35531113665
10.61.81.49,43058,216.58.200.174,443,20,6262,11,1315,9,4947,195.39465597,11.90084232,883.971043152179,3325.47889769873
10.61.81.49,56676,216.58.207.195,443,18,6130,10,1249,8,4881,196.704747162,11.963120757,835.233565134194,3264.03125013611
10.61.81.49,56678,216.58.207.195,443,22,6970,12,1393,10,5577,196.955565605,11.712363927,951.473167112767,3809.30786287717
10.61.81.49,41068,13.224.17.184,443,202,156513,97,8488,105,148025,208.668658626,359.167677654,189.059328622033,3297.0672854944
10.61.81.49,41070,13.224.17.184,443,21,2850,12,1905,9,945,208.669509119,36.771360548,414.452981148366,205.594785923992
10.61.81.49,55250,3.214.17.10,443,16,1801,9,1178,7,623,214.856983036,31.023535758,303.769372824303,160.652223488574
10.61.81.49,55252,3.214.17.10,443,16,1801,9,1178,7,623,214.860199378,31.020298158,303.801077346176,160.668990820601
10.61.81.49,40328,34.205.95.128,443,31,9837,16,6451,15,3386,245.909476595,4.35202718599999,11858.3818056141,6224.22582449375
10.61.81.49,40330,34.205.95.128,443,39,16510,21,7815,18,8695,245.909514421,111.072301488,562.876605260174,626.25874379235
10.61.81.49,40332,34.205.95.128,443,79,55178,38,8835,41,46343,245.909538229,111.072264367,636.342478500864,3337.86298598365
10.61.81.49,40334,34.205.95.128,443,72,53214,35,6896,37,46318,245.909561224,111.072227611,496.685815946816,3336.0634604154
10.61.81.49,51948,172.217.160.234,443,58,14194,26,4796,32,9398,247.362025644,328.49183573,116.800467551151,228.876312353153
10.61.81.49,51950,172.217.160.234,443,46,8807,29,2579,17,6228,247.362126078,737.375153588,27.9803298220812,67.5694044714702
