Address A,Port A,Address B,Port B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
10.61.81.49,47581,192.168.108.122,53,2,216,1,100,1,116,0,0.064369141,12428.3156116686,14416.8461095356
10.61.81.49,36027,192.168.108.122,53,2,404,1,89,1,315,0.020718832,0.150518538,4730.31434838943,16742.1238173334
10.61.81.49,37255,192.168.108.122,53,2,219,1,87,1,132,0.024483437,0.18626755,3736.56066233759,5669.26445320186
10.61.81.49,5353,224.0.0.251,5353,11,912,11,912,0,0,0.046859668,731.433325451,9.974935166512,0
10.61.81.49,35602,239.255.255.250,1900,4,856,4,856,0,0,0.060526787,3.001374605,2281.62122401912,0
10.61.81.49,49182,172.217.166.10,443,40,18443,19,6436,21,12007,0.172294527,5.799475822,8878.04373710518,16562.8761888474
10.61.81.49,57988,192.168.108.122,53,2,196,1,90,1,106,0.291305569,0.152824675,4711.28108075479,5548.84216177787
10.61.81.49,53257,192.168.108.122,53,2,186,1,85,1,101,0.292561544,0.151591602,4485.73661752054,5330.11056905382
10.61.81.49,56649,172.217.166.205,443,27,16327,13,7469,14,8858,0.444616007,5.526439758,10812.0241270166,12822.7218793832
10.61.81.49,57438,216.58.200.164,443,83,62588,34,8901,49,53687,0.444764965,5.526899603,12883.8960565429,77710.114322842
10.61.81.49,45834,192.168.108.122,53,2,232,1,100,1,132,1.41515227,0.085265655,9382.44126547788,12384.8224704308
10.61.81.49,54211,192.168.108.122,53,2,261,1,100,1,161,1.415239961,0.11217391,7131.78313923442,11482.1708541674
10.61.81.49,52862,192.168.108.122,53,2,228,1,88,1,140,1.570086418,0.502755327,1400.28352200831,2227.72378501322
10.61.81.49,58463,172.217.167.3,443,16,11747,8,4569,8,7178,2.073756793,3.897711679,9377.8101127731,14732.7469882874
10.61.81.49,44316,192.168.108.122,53,2,207,1,85,1,122,5.661640147,0.03764115,18065.335410847,25929.0696485098
10.61.81.49,53094,216.58.196.206,443,17,11479,8,4228,9,7251,5.699801936,0.354362399,95450.3076383112,163696.82608453
10.61.81.49,53082,172.217.166.10,443,38,17817,17,5409,21,12408,17.409436842,2.116882008,20441.3849409032,46891.6073852332
10.61.81.49,39333,239.255.255.250,1900,4,856,4,856,0,0,17.456510805,3.001868417,2281.24589379695,0
10.61.81.49,42355,172.217.166.205,443,21,14216,10,5914,11,8302,17.929417452,0.937663146000002,50457.352623732,70831.4070818774
10.61.81.49,37832,216.58.200.164,443,114,65243,49,8264,65,56979,17.929692892,32.287888857,2047.57890157526,14117.7393795809
10.61.81.49,56130,172.217.167.3,443,19,14594,8,4561,11,10033,18.771721261,1.3671384,26689.3242117989,58709.4912994909
10.61.81.49,40848,192.168.108.122,53,2,220,1,90,1,130,22.849612954,0.048612807999998,14810.9115605918,21393.5389208549
10.61.81.49,48303,216.58.196.206,443,43,31107,20,8689,23,22418,22.850091572,27.36723163,2539.97192481101,6553.23864776307
10.61.81.49,55900,216.58.200.174,443,28,19291,14,7941,14,11350,22.899143065,27.31744047,2325.54730263864,3323.88387922787
10.61.81.49,42426,192.168.108.122,53,2,180,1,82,1,98,23.021848396,0.070093384,9358.94320639452,11185.0784661788
10.61.81.49,36452,192.168.108.122,53,2,382,1,86,1,296,23.022038947,0.069925803,9839.00034726805,33864.4663115272
10.61.81.49,34561,192.168.108.122,53,2,198,1,91,1,107,23.022329324,0.069630714999999,10455.1561764088,12293.4253942389
10.61.81.49,56302,172.217.166.14,443,20,14674,9,4647,11,10027,23.092649613,27.125139289,1370.53674098831,2957.25670365607
10.61.81.49,44986,172.217.27.174,443,186,134284,80,31716,106,102568,23.092813355,27.124886307,9354.06685684509,30250.5968398565
10.61.81.49,46510,216.58.196.202,443,20,14674,9,4647,11,10027,23.093100136,27.123565937,1370.6162414761,2957.42824473441
10.61.81.49,59766,192.168.108.122,53,2,229,1,84,1,145,23.093458891,0.244533537999999,2748.08930298961,4743.72558254159
10.61.81.49,44962,172.217.167.3,443,19,14596,8,4569,11,10027,23.093466241,27.123260487,1347.62559307791,2957.46154996546
